Wavelength,ScaleFactor,Intensity,HalogenIntensity
597.72,22.94483202,242.943846295,10.5881728
598.26,22.9534873389,243.670604121,10.6158424
598.8,22.9636059056,244.413415019,10.643512
599.34,22.9925377455,245.357545727,10.6711816
599.88,22.9957884994,246.028519382,10.6988512
600.42,22.9881490141,246.565865713,10.7257816
600.96,23.0070450629,247.383270445,10.7525008
601.5,22.9912265125,247.827488648,10.77922
602.04,23.0042605274,248.5826406,10.8059392
602.58,22.9972700605,249.121570698,10.8326584
603.12,22.9961125312,249.723469309,10.8593776
603.66,22.9619271907,249.965762113,10.8860968
604.2,22.9768708064,250.742363366,10.912816
604.74,22.9695466253,251.276163835,10.9395352
605.28,22.9429962847,251.598733957,10.9662544
605.82,22.9247829448,252.011533698,10.9929736
606.36,22.9370687237,252.759451067,11.0196928
606.89,22.9088695875,253.049476609,11.0459172
607.43,22.9056564799,253.626005705,11.0726364
607.97,22.875432048,253.902554804,11.0993556
608.51,22.8589260266,254.330120819,11.1260748
609.05,22.8107868777,254.404007025,11.152794
609.59,22.8007280454,254.901040153,11.1795132
610.13,22.7523024307,254.967588673,11.2062324
610.67,22.7512259104,255.563419492,11.2329516
611.21,22.7192403365,255.811167015,11.2596708
611.75,22.6837930787,256.018135365,11.28639
612.28,22.6686482278,256.441676371,11.3126144
612.82,22.6379397525,256.69915087,11.3393336
613.36,22.6253556276,257.160986682,11.3660528
613.9,22.5927586223,257.394147835,11.392772
614.44,22.5603072057,257.627229605,11.4194912
614.98,22.5298428501,257.881321541,11.4462104
615.51,22.5092836938,258.236289572,11.4724348
616.05,22.4758272323,258.452998622,11.499154
616.59,22.4175905216,258.382305801,11.5258732
617.13,22.39990769,258.77700334,11.5525924
617.67,22.3797229314,259.141785344,11.5793116
618.2,22.3229905616,259.070270591,11.605536
618.74,22.2954115134,259.345916513,11.6322552
619.28,22.2775673814,259.733587794,11.6589744
619.82,22.2112872018,259.554296702,11.6856936
620.35,22.1850332231,259.829289936,11.711918
620.89,22.1613198169,260.143693203,11.7386372
621.43,22.1411997396,260.49910606,11.7653564
621.97,22.0964519588,260.56303199,11.7920756
622.5,22.0555691971,260.659333442,11.8183
623.04,22.0461920721,261.137568381,11.8450192
623.58,22.0002996585,261.181802268,11.8717384
624.11,21.9883068524,261.616056965,11.8979628
624.65,21.9407182672,261.636088188,11.924682
625.19,21.9034770627,261.761594208,11.9506868
625.72,21.8798120971,262.00896447,11.9749184
626.26,21.8375971741,262.042588282,11.9996072
626.8,21.8148617968,262.308355444,12.024296
627.33,21.8025060635,262.688096056,12.0485276
627.87,21.7672101226,262.800238235,12.0732164
628.41,21.7515965995,263.148753609,12.0979052
628.94,21.7152784355,263.235575845,12.1221368
629.48,21.7170149658,263.792793343,12.1468256
630.01,21.6898893663,263.988884139,12.1710572
630.55,21.6724451884,264.311636717,12.195746
631.09,21.6321220316,264.353936872,12.2204348
631.62,21.6266230758,264.810784921,12.2446664
632.16,21.6231714631,265.302371231,12.2693552
632.69,21.6056508421,265.610943998,12.2935868
633.23,21.5810883595,265.84179416,12.3182756
633.76,21.568428646,266.208485856,12.3425072
634.3,21.5305292996,266.272275831,12.367196
634.83,21.4984096882,266.395987167,12.3914276
635.37,21.5025629919,266.978325006,12.4161164
635.9,21.5024192349,267.497578123,12.440348
636.44,21.5021743736,268.025394847,12.4650368
636.97,21.4885217582,268.375915757,12.4892684
637.51,21.4809346934,268.811497369,12.5139572
638.04,21.4602419553,269.072565329,12.5381888
638.58,21.4841903773,269.903254045,12.5628776
639.11,21.4871738429,270.46140356,12.5871092
639.65,21.5028023759,271.188999998,12.611798
640.18,21.512887609,271.837484608,12.6360296
640.72,21.5082293431,272.309634996,12.6607184
641.25,21.5277138583,273.077973907,12.68495
641.78,21.5325929362,273.661633945,12.7091816
642.32,21.5587641248,274.526508349,12.7338704
642.85,21.5675323217,275.160777248,12.758102
643.39,21.5546722491,275.528866122,12.7827908
643.92,21.5844820914,276.432945637,12.8070224
644.45,21.5813579286,276.915885247,12.831254
644.99,21.6000292603,277.688740649,12.8559428
645.52,21.6210421635,278.482793775,12.8801744
646.05,21.6500310792,279.380790958,12.904406
646.59,21.6631612854,280.085065927,12.9290948
647.12,21.6466053272,280.395544255,12.9533264
647.65,21.6658803213,281.170218491,12.977558
648.19,21.6923118709,282.048792608,13.0022468
648.72,21.7083133677,282.782875184,13.0264784
649.25,21.7503171673,283.857081758,13.05071
649.78,21.7485767693,284.361371142,13.0749416
650.32,21.7463577422,284.840578571,13.098312
650.85,21.74848616,285.347967874,13.12036
651.38,21.7960804234,286.452981725,13.142408
651.91,21.7996576625,286.980634113,13.164456
652.45,21.8321477062,287.89878523,13.18692
652.98,21.845442132,288.555746068,13.208968
653.51,21.8347227752,288.895566395,13.231016
654.04,21.8078570384,289.020925033,13.253064
654.57,21.8184122779,289.641866651,13.275112
655.1,21.82292177,290.182882443,13.29716
655.64,21.826532866,290.721210999,13.319624
656.17,21.8353274402,291.31977672,13.341672
656.7,21.8299373315,291.729170116,13.36372
657.23,21.8214428669,292.096771642,13.385768
657.76,21.795813463,292.234256482,13.407816
658.29,21.7934103091,292.682536547,13.429864
658.82,21.783462918,293.029226229,13.451912
659.35,21.7894389085,293.590028275,13.47396
659.88,21.8166242972,294.437336048,13.496008
660.41,21.7966503168,294.648339594,13.518056
660.95,21.77385342,294.829297711,13.54052
661.48,21.7603290187,295.125942019,13.562568
662.01,21.7300086752,295.19382353,13.584616
662.54,21.7528539538,295.98377479,13.606664
663.07,21.7538648894,296.477159464,13.628712
663.6,21.7188143633,296.478322358,13.65076
664.13,21.687143148,296.524144332,13.672808
664.66,21.663385302,296.676942183,13.694856
665.18,21.6533981988,297.008576553,13.716488
665.71,21.6497446227,297.43579589,13.738536
666.24,21.6301972043,297.644145566,13.760584
666.77,21.6319996173,298.145890149,13.782632
667.3,21.5993952045,298.172738992,13.80468
667.83,21.5756566798,298.320736333,13.826728
668.36,21.5427586761,298.340839327,13.848776
668.89,21.5092058474,298.350408689,13.870824
669.42,21.4902501404,298.561294449,13.892872
669.95,21.5005335242,299.178203947,13.91492
670.47,21.4920641104,299.525269061,13.936552
671.0,21.474662393,299.756222479,13.9586
671.53,21.4540459281,299.941464297,13.980648
672.06,21.4138954705,299.852268449,14.002696
672.59,21.3576691875,299.535842792,14.024744
673.11,21.3667465013,300.125355254,14.046376
673.64,21.3395701676,300.214121095,14.068424
674.17,21.3166068048,300.361051318,14.090472
674.7,21.3019965234,300.624851977,14.11252
675.22,21.232092795,300.085668928,14.1335888
675.75,21.1970774853,300.029369909,14.15428
676.28,21.1866293296,300.319860571,14.1749712
